qseqid	sseqid	pident	length	qcovs	evalue	bitscore	confidence	kingdom	phylum	class	order	family	genus	species
ASV0015	OP035107.2.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Mulloidichthys_342442;Mulloidichthys_flavolineatus_652446	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys flavolineatus
ASV0016	LC458136.2.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gerreiformes_2024538;Gerreidae_274463;Gerres_274464;Gerres_erythrourus_332416	94.898	196	100	1.74e-82	305	family	Eukaryota	Chordata	Actinopteri	Gerreiformes	Gerreidae	NA	NA
ASV0017	MG677546.1.69.1015###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_sutor_439892	98.485	198	100	8.11e-96	350	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus sutor
ASV0018	AY279593.1.<1.>933###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cymolutes_241283;Cymolutes_praetextatus_241284	98.477	197	100	1.04e-94	346	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cymolutes	Cymolutes praetextatus
ASV0019	AB974618.1.<1.>172###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Scarus_59660;Scarus_rubroviolaceus_247628	98.256	172	100	1.96e-81	302	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus rubroviolaceus
ASV0020	MW630257.1.<1.>824###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_nigricans_351694	94.444	198	99	2.30e-81	302	family	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	NA	NA
ASV0021	OP035098.1.69.1013###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Thalassoma_76337;Thalassoma_trilobatum_239059	100	194	100	1.32e-98	359	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Thalassoma	Thalassoma trilobatum
ASV0022	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	97.959	196	100	4.82e-93	340	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0023	AP012310.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Mulloidichthys_342442;Mulloidichthys_vanicolensis_342443	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys vanicolensis
ASV0024	LC858680.1.<1.951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Vanderhorstia_579952;Vanderhorstia_phaeosticta_2768284	100	194	100	1.32e-98	359	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Vanderhorstia	Vanderhorstia phaeosticta
ASV0025	LC773520.1.<1.883###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Callionymidae_30908;Callionymus_34784;Callionymus_japonicus_1503350	88.66	194	100	8.23e-61	233	order	Eukaryota	Chordata	Actinopteri	Syngnathiformes	NA	NA	NA
ASV0026	ON210977.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_triostegus_175435	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus triostegus
ASV0027	AP012020.1.72.1025###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Siluriformes_7995;Plotosidae_30997;Plotosus_243561;Plotosus_japonicus_909843	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Siluriformes	Plotosidae	Plotosus	Plotosus japonicus
ASV0028	PP140670.1.11089.12034###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_argenteus_225755	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus argenteus
ASV0029	FJ616363.1.<1.>945###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_leucozona_3359602	96.954	197	100	2.92e-90	331	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon sp.
ASV0030	OP035151.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_quagga_879476	98.974	195	100	7.97e-96	350	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes quagga
ASV0031	KF374965.1.<1.>946###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Moolgarda_1111164;Moolgarda_seheli_1111465	99.497	199	100	1.05e-99	363	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Moolgarda	Moolgarda seheli
ASV0032	LC649141.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_unicornis_175444	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso unicornis
ASV0033	FJ616386.1.<1.>908###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_fasciolatus_80994	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon fasciolatus
ASV0034	OP718224.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Parupeneus_334899;Parupeneus_barberinus_475168	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Parupeneus	Parupeneus barberinus
ASV0035	EU601208.1.22.>926###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Scarus_59660;Scarus_psittacus_247625	100	199	100	2.25e-101	368	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus psittacus
ASV0036	ON210977.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_triostegus_175435	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus triostegus
ASV0037	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus nebulosus
ASV0038	MG677546.1.69.1015###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_sutor_439892	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus sutor
ASV0039	LC710304.1.<1.889###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Tripterygiidae_57771;Enneapterygius_130720;Enneapterygius_etheostoma_3354692	94.872	195	100	1.75e-82	305	family	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	NA	NA
ASV0040	MH248183.1.<1.>671###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_undulatus_473461	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax undulatus
ASV0041	LC037050.1.<1.>177###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Centrarchiformes_1489940;Cirrhitidae_76914;Cirrhitus_76915;Cirrhitus_pinnulatus_490258	100	177	87	3.93e-89	327	species	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Cirrhitidae	Cirrhitus	Cirrhitus pinnulatus
ASV0042	LC654188.1.<1.884###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Coris_126328;Coris_dorsomacula_317480	96.907	194	100	1.33e-88	326	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Coris	Coris sp.
ASV0043	KT600968.1.<1.>764###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Balistidae_31024;Rhinecanthus_245704;Rhinecanthus_aculeatus_245705	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Rhinecanthus	Rhinecanthus aculeatus
ASV0044	AY279608.1.<1.>941###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Halichoeres_51788;Halichoeres_scapularis_241300	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres	Halichoeres scapularis
ASV0045	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	95.408	196	100	1.05e-84	313	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0046	JQ707060.1.<1.>843###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_albifasciatus_997984	96.5	200	100	1.06e-89	329	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes sp.
ASV0047	MW560469.1.70.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_hexagonatus_163121	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus hexagonatus
ASV0048	LC739785.1.<1.892###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Asterropteryx_151712;Asterropteryx_semipunctata_151713	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Asterropteryx	Asterropteryx semipunctata
ASV0049	OR546227.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_polyzona_879475	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes polyzona
ASV0050	KY815294.1.<1.>870###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Halichoeres_51788;Halichoeres_nebulosus_317497	97.938	194	100	2.22e-91	335	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres	Halichoeres sp.
ASV0051	FJ616363.1.<1.>945###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_leucozona_3359602	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon leucozona
ASV0052	LC848706.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Bothidae_8253;Bothus_94920;Bothus_pantherinus_366905	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Bothidae	Bothus	Bothus pantherinus
ASV0053	MZ598167.1.<1.>169###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_thyrsoideus_1138762	100	169	86	1.05e-84	313	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax thyrsoideus
ASV0054	OR575556.1.70.1041###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Eviota_166746;Eviota_epiphanes_1248218	93.069	202	100	3.92e-79	294	family	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	NA	NA
ASV0055	KU244260.1.922.1873###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Ctenochaetus_75019;Ctenochaetus_striatus_175436	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Ctenochaetus	Ctenochaetus striatus
ASV0056	PV053466.1.<1.>167###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Entomacrodus_57795;Entomacrodus_thalassinus_1892334	95.808	167	86	6.34e-72	270	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Entomacrodus	Entomacrodus sp.
ASV0057	OP035171.2.6523.7475###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_phoenixensis_997976	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon phoenixensis
ASV0058	OP035282.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_nigrofuscus_12913	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigrofuscus
ASV0059	MT025443.1.<1.>616###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Anampses_241262;Anampses_caeruleopunctatus_241263	100	171	88	8.08e-86	316	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Anampses	Anampses caeruleopunctatus
ASV0060	LC654188.1.<1.884###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Coris_126328;Coris_dorsomacula_317480	95.876	194	100	2.89e-85	315	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Coris	Coris sp.
ASV0061	KC136451.1.1543.2494###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Centrarchiformes_1489940;Kyphosidae_30843;Kyphosus_163142;Kyphosus_vaigiensis_163143	100	199	100	2.25e-101	368	species	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	Kyphosus vaigiensis
ASV0062	OK576406.1.<1.>532###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Mugil_8190;Mugil_cephalus_48193	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil cephalus
ASV0063	KF374964.1.<1.>946###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Moolgarda_1111164;Moolgarda_seheli_1111465	98.492	199	100	2.27e-96	351	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Moolgarda	Moolgarda seheli
ASV0064	KY815349.1.<1.>879###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Thalassoma_76337;Thalassoma_lutescens_239049	100	194	100	1.32e-98	359	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Thalassoma	Thalassoma lutescens
ASV0065	KC136565.1.1433.2383###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Centrarchiformes_1489940;Kyphosidae_30843;Kyphosus_163142;Kyphosus_elegans_1163486	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	Kyphosus elegans
ASV0066	MW630280.1.<1.>847###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Chrysiptera_80978;Chrysiptera_brownriggii_498267	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Chrysiptera	Chrysiptera brownriggii
ASV0067	AB974508.2.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Myripristis_47699;Myripristis_greenfieldi_1522387	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Myripristis	Myripristis greenfieldi
ASV0068	AP019337.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Eviota_166746;Eviota_prasina_595619	92.857	196	100	8.20e-76	283	family	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	NA	NA
ASV0069	KP893074.1.70.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Enchelynassa_876646;Enchelynassa_canina_876647	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Enchelynassa	Enchelynassa canina
ASV0070	PX112431.1.11091.12036###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_spinus_225758	98.99	198	100	6.27e-97	353	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus spinus
ASV0071	LC654232.1.<1.970###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Aulopiformes_68510;Synodontidae_81390;Saurida_143309;Saurida_nebulosa_1074258	97.396	192	100	3.67e-89	327	genus	Eukaryota	Chordata	Actinopteri	Aulopiformes	Synodontidae	Saurida	Saurida sp.
ASV0072	OQ342819.1.<1.>217###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Diodontidae_31034;Diodon_223142;Diodon_hystrix_223145	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Diodontidae	Diodon	Diodon hystrix
ASV0073	OP749983.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_randalli_2999979	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes randalli
ASV0074	EU601180.1.22.>926###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Calotomus_188111;Calotomus_spinidens_544409	96.429	196	100	1.75e-87	322	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Calotomus	Calotomus sp.
ASV0075	LC552445.2.<1.892###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Carangiformes_1489907;Carangidae_8157;Caranx_8158;Caranx_papuensis_691748	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Caranx	Caranx papuensis
ASV0077	JQ707028.1.<1.>860###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Abudefduf_36213;Abudefduf_sparoides_229093	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Abudefduf	Abudefduf sparoides
ASV0078	OP035101.1.70.1021###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_chilospilus_473452	100	200	100	6.30e-102	370	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax chilospilus
ASV0079	AY279583.1.<1.>943###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cheilio_241272;Cheilio_inermis_241273	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cheilio	Cheilio inermis
ASV0080	LC720143.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Ostorhinchus_638290;Ostorhinchus_wassinki_2966342	94.949	198	100	4.86e-83	307	family	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	NA	NA
ASV0081	LC506702.2.<1.886###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Atheriniformes_8075;Atherinidae_69128;Hypoatherina_123717;Hypoatherina_tsurugae_126353	93.878	196	100	1.06e-79	296	family	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinidae	NA	NA
ASV0082	LC774642.1.<1.894###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Sphyraenidae_27769;Sphyraenidae_27769;Sphyraena_13691;Sphyraena_obtusata_392539	98.477	197	100	2.90e-95	348	species	Eukaryota	Chordata	Actinopteri	Sphyraenidae	Sphyraenidae	Sphyraena	Sphyraena obtusata
ASV0083	AF285933.1.<1.>886###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_lacrymatus_80988	96	200	100	4.97e-88	324	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes sp.
ASV0084	KP874183.1.71.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Scuticaria_210591;Scuticaria_tigrina_391220	92.857	196	99	8.29e-76	283	family	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	NA	NA
ASV0085	KF374964.1.<1.>946###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Mugiliformes_41872;Mugilidae_8189;Moolgarda_1111164;Moolgarda_seheli_1111465	98.995	199	100	4.87e-98	357	species	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Moolgarda	Moolgarda seheli
